,url,top-rank,title,artist
0,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf,1,Genda Phool (feat. Payal Dev),Badshah
1,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,1,Shayad,"Pritam, Arijit Singh"
2,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2,death bed (coffee for your head),"Powfu, beabadoobee"
3,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,4,Toosie Slide,Drake
4,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44,1,"Ghungroo (From ""War"")","Arijit Singh, Shilpa Rao"
5,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,3,Falling,Trevor Daniel
6,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,3,Skechers,DripReport
7,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,4,Blinding Lights,The Weeknd
8,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,4,Roses - Imanbek Remix,SAINt JHN
9,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw,2,Illegal Weapon 2.0,"Jasmine Sandlas, Garry Sandhu"
10,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860,6,Haan Main Galat,"Pritam, Arijit Singh, Shashwat Singh"
11,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF,2,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Badshah, Neha Kakkar"
12,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx,2,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma
13,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,2,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon"
14,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2,Intentions (feat. Quavo),Justin Bieber
15,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga,2,Makhna,"Tanishk Bagchi, Yasser Desai, Asees Kaur"
16,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp,8,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli, Arijit Singh, Neha Kakkar"
17,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u,11,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana, Tanishk-Vayu"
18,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg,3,Pal Pal Dil Ke Paas- Title Track,"Arijit Singh, Parampara Tandon"
19,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,18,The Box,Roddy Ricch
20,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2,Memories,Maroon 5
21,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h,11,Mehrama,"Pritam, Darshan Raval, Antara Mitra"
22,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,20,Be Kind (with Halsey),Marshmello
23,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,1,Señorita,"Shawn Mendes, Camila Cabello"
24,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC,4,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra
25,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,15,Dance Monkey,Tones And I
26,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF,2,Yaad Piya Ki Aane Lagi,"Neha Kakkar, Tanishk Bagchi, Lalit Sen"
27,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ,26,"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali"
28,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X,4,Liggi,Ritviz
29,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,21,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi"
30,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,19,Don't Start Now,Dua Lipa
31,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF,3,Ve Maahi,"Arijit Singh, Asees Kaur"
32,https://open.spotify.com/track/5ZQnQnbUVtBO0pl3ShqVHG,33,"Lagdi Lahore Di (From ""Street Dancer 3D"")","Guru Randhawa, Tulsi Kumar"
33,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S,10,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon, The Fusion Project"
34,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3,1,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara"
35,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8,1,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar, Parampara Tandon, Tanishk Bagchi"
36,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,32,Say So,Doja Cat
37,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,9,ROXANNE,Arizona Zervas
38,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg,4,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon, Parampara Tandon, Sachet-Parampara"
39,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR,8,Yummy,Justin Bieber
40,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y,2,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev, Jubin Nautiyal"
41,https://open.spotify.com/track/0OcVZqIer0LLu3K8sdU5Yb,26,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")","Romy, Tanishk Bagchi, Yo Yo Honey Singh"
42,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,40,Boss Bitch,Doja Cat
43,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi,7,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva, Tulsi Kumar"
44,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,5,ily (i love you baby) (feat. Emilee),Surf Mesa
45,https://open.spotify.com/track/3lWzVNe1yFZlkeBBzUuZYu,29,Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist,Manu Pilas
46,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b,14,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")","Tony Kakkar, Neha Kakkar, Tanishk Bagchi"
47,https://open.spotify.com/track/10Hks1iBOnKIIhouOI4rrk,23,Loca,"Yo Yo Honey Singh, Simar Kaur"
48,https://open.spotify.com/track/665AK0ovB11McZRwfa852G,41,Astronomia,"Vicetone, Tony Igy"
49,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS,17,Buttabomma - Telugu,"Armaan Malik, Thaman S"
50,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,22,lovely (with Khalid),Billie Eilish
51,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,35,Blueberry Faygo,Lil Mosey
52,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg,18,Sakhiyaan,Maninder Buttar
53,https://open.spotify.com/track/1pZbjOj49hg04l9VBO97hp,32,Old Skool,"Sidhu Moose Wala, Prem Dhillon, NseeB"
54,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,26,Someone You Loved,Lewis Capaldi
55,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,18,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
56,https://open.spotify.com/track/1StFDfq4raRws97W8Wb3QS,23,Asal Mein,Darshan Raval
57,https://open.spotify.com/track/4yurVSNjaPBKkOpbZWtuJO,51,Kalla Sohna Nai,Akhil
58,https://open.spotify.com/track/0z9lOAVgQT5bysEKZ6Wwbk,30,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)","Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar"
59,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,47,Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella"
60,https://open.spotify.com/track/0LtuveFgRP4lkksywmCtxV,35,Masakali 2.0,"Tulsi Kumar, Sachet Tandon, Mohit Chauhan, A.R. Rahman, Tanishk Bagchi"
61,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,26,Can We Kiss Forever?,"Kina, Adriana Proenza"
62,https://open.spotify.com/track/1v8H06ctqfMX8IUxU9nCaI,19,Sauda Khara Khara,"Diljit Dosanjh, Sukhbir, Dhvani Bhanushali, Dj Chetas, Lijo George"
63,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,9,Circles,Post Malone
64,https://open.spotify.com/track/4YIhJmihoXwjtbY4vsV9Nh,51,"Kudi Nu Nachne De (From ""Angrezi Medium"")","Vishal Dadlani, Sachin-Jigar"
65,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,24,Believer,Imagine Dragons
66,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK,40,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh
67,https://open.spotify.com/track/5bAed2aRbQbjDZF9qkNSA2,27,"Hui Malang (From ""Malang - Unleash The Madness"")","Asees Kaur, Ved Sharma"
68,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5,5,Kalank (Title Track),Arijit Singh
69,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX,30,Udd Gaye - Bacardi House Party Sessions,Ritviz
